动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
彩红屁第三方多功能修复,https://getquicker.net/Sharedaction?code=ec8121d7-1ea3-41f6-e88e-08dc4af4df6f,增加了一些功能，右键查看,通用,Nexuiz,https://getquicker.net/User/155450/Nexuiz,10.6 KB,2024-03-23 23:44,0,,2024-03-24
ChatWindow,https://getquicker.net/Sharedaction?code=2ff0b580-b757-4716-5a83-08dbfdbb1fb8,一个简单易用的AI动作，让前沿的人工智能技术变成易于使用的生产力工具,通用,H-D-G,https://getquicker.net/User/679811/H-D-G,102.1 KB,2023-12-16 20:13,40,"~ 优化【终止AI输出】的判断
~ 优化启动速度",2024-03-24
Daily Note,https://getquicker.net/Sharedaction?code=e23888c1-80c7-41fd-e88b-08dc4af4df6f,添加选中的或剪贴板中的文本到思源笔记 dailynote 中,SiYuan,JeffreyChen,https://getquicker.net/User/915255/JeffreyChen,34.9 KB,2024-03-23 22:06,0,,2024-03-24
bilidown,https://getquicker.net/Sharedaction?code=61515845-76e6-4575-8a56-08dc47297450,快速下载哔哩哔哩视频,通用,RrOrange,https://getquicker.net/User/126233/RrOrange,5.2 KB,2024-03-19 21:01,2,"🎈 pref: 修正一些bug，提升健壮性.

ps. 现在在哔哩哔哩网页内直接使用也可以下载",2024-03-24
粗笔,https://getquicker.net/Sharedaction?code=81354cf5-35ee-48f2-e884-08dc4af4df6f,一个笔记壳子，需第三方markdown软件，建议typora。,通用,炸鸡爱上冰可乐,https://getquicker.net/User/66588/%E7%82%B8%E9%B8%A1%E7%88%B1%E4%B8%8A%E5%86%B0%E5%8F%AF%E4%B9%90,126.8 KB,2024-03-23 19:25,1,sdefjiowef,2024-03-24
删除临时文件,https://getquicker.net/Sharedaction?code=7121b759-39cf-4c56-ec50-08dc3811d02e,删除section作图产生的零时文件,Windows 资源管理器,朱朝成,https://getquicker.net/User/1007428/%E6%9C%B1%E6%9C%9D%E6%88%90,1.8 KB,2024-02-28 17:07,1,简化指令,2024-03-24
word图片尺寸,https://getquicker.net/Sharedaction?code=e79061b7-4079-4d32-24eb-08dc481c770b,word图片等大小,Microsoft Word,朱朝成,https://getquicker.net/User/1007428/%E6%9C%B1%E6%9C%9D%E6%88%90,6.3 KB,2024-03-20 16:59,1,调整延时，键盘输入等参数，提高软件运行成功率。,2024-03-24
识别二维码,https://getquicker.net/Sharedaction?code=74848432-d5dd-4b92-e880-08dc4af4df6f,【适配Quicker社区版】,macos.exe,darcyc,https://getquicker.net/User/95689/darcyc,2.3 KB,2024-03-23 17:32,0,,2024-03-24
OCR,https://getquicker.net/Sharedaction?code=a0f2d6e4-6c0e-4221-e166-08dc455790aa,适配【Quicker社区版】,macos.exe,darcyc,https://getquicker.net/User/95689/darcyc,2.6 KB,2024-03-16 15:50,1,,2024-03-24
创建工作表副本,https://getquicker.net/Sharedaction?code=e01d6cad-06de-4dee-e87f-08dc4af4df6f,可按需输入创建副本个数,WPS Office,Shaun_,https://getquicker.net/User/747405/Shaun_,2.5 KB,2024-03-23 17:25,0,,2024-03-24
微信自带表情搜索,https://getquicker.net/Sharedaction?code=b9b2f6a8-c978-4749-708d-08dbce198e29,简单的组合操作实现微信自带表情搜索，如果有能够实现输入同时检测特定字符进行自动运行欢迎指导,WeChat,Ambiel,https://getquicker.net/User/109013/Ambiel,4.5 KB,2023-10-16 17:39,1,适配了新版本微信，功能可正常使用,2024-03-24
规范打开,https://getquicker.net/Sharedaction?code=ae3d5cf1-57be-4704-4e16-08dc0e606679,对选中的文件：1.备份，2.规范命名，3.打开,Windows 资源管理器,iDenny,https://getquicker.net/User/459511/iDenny,155.7 KB,2024-01-06 19:17,16,"1、增加文件占用检查，若占用，尝试解除
2、调整显示参数和动作步骤
3、优化一些小细节",2024-03-24
合集视频总时长,https://getquicker.net/Sharedaction?code=56bc7e87-f5bb-4810-e879-08dc4af4df6f,计算B战合集视频总时长,Google Chrome,用广名,https://getquicker.net/User/29536/%E7%94%A8%E5%B9%BF%E5%90%8D,5.3 KB,2024-03-23 15:25,0,,2024-03-24
辅助窗,https://getquicker.net/Sharedaction?code=910c9ede-81fe-474c-f5ed-08dba6ce1eab,辅助完成一个便利的自定义操作窗，添加网址、应用、文本、快捷键等,通用,困困君,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,268.4 KB,2023-08-28 14:14,158,修改多步骤moveto为逐渐移动到目标,2024-03-24
陶晶驰串口屏,https://getquicker.net/Sharedaction?code=556224a7-1874-4096-5812-08dc463fbd2a,新手辅助陶晶驰HMI编程手册,HMI,策马奔腾,https://getquicker.net/User/768372/%E7%AD%96%E9%A9%AC%E5%A5%94%E8%85%BE,34.9 KB,2024-03-17 17:02,1,代码优化,2024-03-24
系统主题切换,https://getquicker.net/Sharedaction?code=ed6fc3ae-7117-4dcd-e877-08dc4af4df6f,Win11系统下，一键切换系统主题模式。,通用,ifwhale,https://getquicker.net/User/598688/ifwhale,7.4 KB,2024-03-23 14:34,0,,2024-03-24
快速获取CSS,https://getquicker.net/Sharedaction?code=20f9d87c-16d8-4123-e874-08dc4af4df6f,辅助获得CSS选择器或者Xpath，方便在各种地方使用，直观高效,macos.exe,darcyc,https://getquicker.net/User/95689/darcyc,319.6 KB,2024-03-23 12:51,0,,2024-03-24
下载链接,https://getquicker.net/Sharedaction?code=31cfb32f-ed91-4cee-c4d1-08d93053fb9f,直接下载到指定目录，避免在浏览器中打开,通用,治钧,https://getquicker.net/User/21417/%E6%B2%BB%E9%92%A7,26.5 KB,2021-06-16 09:15,11,- 修复部分文本的识别问题,2024-03-24
搜神,https://getquicker.net/Sharedaction?code=8f368e85-5f6a-465d-a5b2-08dbd1e78f40,也许是最好用的搜索神器(Ultra网络版本),通用,李考凡,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,396 KB,2023-10-22 15:24,196,优化计算式和转换大写,2024-03-24
